name,alternate_name,abbrev,conference,prestige,Dynasty Points,DP Grade,NIL Left,nil_total,(5) Pipes,(4) Pipes,(3) Pipes,pipeline_ranking,# of Pipes,overall,offense,defense,capacity,Players (87+),Doug's SBC Rank,Notes,api_id
Ball State,,BALL,MAC,0.5,810,F,240,595,0,0,,,,65,66,64,,0,,,633
Middle Tennessee,Middle Tenn,MTSU,Conference USA,0.5,"1,035",D-,85,690,0,0,,,,67,66,69,,0,,,685
Eastern Michigan,E. Michigan,EMU,MAC,0.5,890,F,75,745,0,0,,,,65,66,64,,0,,,650
Bowling Green,,BGSU,MAC,0.5,"1,090",D-,390,840,0,0,,,,67,66,69,,0,,,637
UTEP,,UTEP,Mountain West,0.5,"1,105",D-,350,975,0,0,0,125,10,64,64,64,"47,750",0,,,741
Southern Mississippi,Southern Miss,USM,Sun Belt,0.5,"1,815",D-,565,870,0,1,0,62,10,69,69,69,"36,250",0,4,"Low starting hours, but most NIL to start with. 4 pipeline in MS and 10 in total",720
South Alabama,,USA,Sun Belt,0.5,605,F,115,690,0,0,1,100,10,69,69,69,"25,500",0,12,"Low hours, low NIL but a 3 pipeline and 10 in total",717
UL Monroe,,ULM,Sun Belt,0.5,695,F,65,505,0,0,0,130,8,64,64,64,"30,750",0,13,No NIL. Low recruiting hours. Only 8 pipelines and the worst team starting.,674
Charlotte,,CLT,AAC,0.5,"1,075",D-,705,1150,0,0,1,83,10,66,66,66,"15,250",0,,,642
Kent State,,KENT,MAC,0.0,515,F,80,410,0,0,,,,64,64,64,,0,,,670
Buffalo,,BUFF,MAC,0.0,780,F,65,565,0,0,,,,66,66,66,,0,,,638
Akron,,AKRN,MAC,0.0,515,F,70,720,0,0,,,,64,64,64,,0,,,624
Georgia State,GA State,GAST,Sun Belt,0.0,715,F,5,440,0,0,0,82,10,66,66,64,"25,000",0,14,Worst NIL of all teams by far. No recruiting hours. No high ranked pipelines but at least 10 of them.,658
